,id,group_name,Тест 2,Тест 1,Тест 3,Тест 4,Тест 5,Тест 6
0,5,Группа №42(1),100.0,100.0,,,,
1,6,Группа №42(1),77.0,100.0,100.0,57.14286,,
2,7,Группа №42(1),100.0,100.0,100.0,71.42857,,
3,8,Группа №41(1),73.0,100.0,60.0,92.85714,79.0,86.6667
4,8,Группа №41_№1,73.0,100.0,60.0,92.85714,79.0,86.6667
5,9,Группа №41(1),82.5,100.0,100.0,98.57143,78.0,
6,10,Группа №42(1),80.0,100.0,86.6666,82.85714,,
7,11,Группа №42(1),82.5,100.0,86.6666,98.57143,,
8,13,Группа №42(1),85.0,91.66675,100.0,100.0,,
9,14,Группа №41(1),93.0,100.0,86.6666,85.71429,76.6667,
10,16,Группа №42(1),81.0,100.0,100.0,,,
11,17,Группа №42(1),100.0,100.0,100.0,98.57143,,
12,18,Группа №42(1),63.3333,91.66675,,27.14286,,
13,19,Группа №41(1),85.0,100.0,33.3334,85.71429,89.0,
14,19,Группа №41_№1,85.0,100.0,33.3334,85.71429,89.0,
15,21,Группа №41(1),80.0,100.0,100.0,82.85714,89.0,
16,22,Группа №41_№1,85.0,100.0,,85.71429,89.0,
17,22,Группа №41(1),85.0,100.0,,85.71429,89.0,
18,23,Группа №42(1),94.6667,100.0,93.3334,88.57143,,
19,24,Группа №41_№1,75.5,100.0,100.0,98.57143,75.0,
20,24,Группа №41(1),75.5,100.0,100.0,98.57143,75.0,
21,25,Группа №41_№1,100.0,75.0,,85.71429,88.0,
22,25,Группа №41(1),100.0,75.0,,85.71429,88.0,
23,26,Группа №41(1),90.0,100.0,100.0,82.85714,79.0,
24,27,Группа №42(1),80.0,87.5,100.0,82.85714,,
25,28,Группа №41(1),72.5,100.0,93.3334,70.0,79.0,
26,29,Группа №42(1),90.0,87.5,80.0,97.14286,,
27,31,Группа №41(1),80.0,100.0,100.0,100.0,77.0,
28,31,Группа №41_№1,80.0,100.0,100.0,100.0,77.0,
29,32,Группа №41(1),90.0,100.0,0.0,70.0,78.0,
30,33,Группа №41(1),75.0,100.0,73.3334,84.28571,86.0,54.4444
31,33,Группа №41_№1,75.0,100.0,73.3334,84.28571,86.0,54.4444
32,34,Группа №42(1),90.0,100.0,80.0,98.57143,,
33,35,Группа №42(1),90.0,100.0,73.3334,78.57143,,
34,36,Группа №41(1),89.0,91.66675,,50.0,25.0,0.0
35,36,Группа №41_№1,89.0,91.66675,,50.0,25.0,0.0
36,38,Группа №41(1),90.0,100.0,100.0,98.57143,89.0,
37,38,Группа №41_№1,90.0,100.0,100.0,98.57143,89.0,
38,40,Группа №45(1/2(1)),98.0,79.16675,33.3334,100.0,92.0,
39,40,Группа №45(1),98.0,79.16675,33.3334,100.0,92.0,
40,41,Группа №45(1),86.5,75.0,,98.57143,,
41,42,Группа №45(1),75.8333,91.66675,53.3334,92.85714,,
42,43,Группа №45(1),100.0,91.66675,100.0,85.71429,88.0,
43,43,Группа №45(1/2(1)),100.0,91.66675,100.0,85.71429,88.0,
44,44,Группа №45(1),100.0,87.5,100.0,82.85714,,
45,45,Группа №45(1),100.0,100.0,80.0,98.57143,79.0,
46,45,Группа №45(1/2(1)),100.0,100.0,80.0,98.57143,79.0,
47,46,Группа №45(1),93.3333,100.0,66.6666,98.57143,,
48,47,Группа №45(1/2(1)),90.0,70.83325,80.0,98.57143,75.0,98.8889
49,47,Группа №45(1),90.0,70.83325,80.0,98.57143,75.0,98.8889
50,48,Группа №45(1),100.0,100.0,100.0,84.28571,94.0,
51,48,Группа №45(1/2(1)),100.0,100.0,100.0,84.28571,94.0,
52,49,Группа №45(1),84.0,79.16675,,75.0,,
